FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR746,P. blochii,08 November 2024,4,303,279,545.8451624,F,3,18.72357765,1,0.035520415,5.713732806,6.30233535,539.0769957,1.012555102
MR747,P. blochii,08 November 2023,4,269,243,351.7190851,M,2,2.210582837,0,0.006324833,5.59471138,5.862832803,382.4781944,0.919579444
MR748,P. blochii,05 January 2024,1,228,206,207.0800737,M,2,0.912800769,2,0.004427477,5.429345629,5.333105548,237.4258823,0.872188287
MR749,P. blochii,05 January 2024,1,252,234,308.3228338,F,7,3.517191287,1,0.011539128,5.529429088,5.731147396,316.852533,0.973079908
MR750,P. blochii,05 January 2024,1,221,205,233.1358917,F,2,3.605279304,1,0.015707183,5.398162702,5.45162151,217.009807,1.074310396
MR751,P. blochii,05 January 2024,1,243,224,239.3428575,F,2,3.044045934,1,0.012882189,5.493061443,5.477897074,285.3093091,0.838889058
MR752,P. blochii,21 April 2024,2,288,264,514.6843274,M,5,34.79616954,0,0.072508915,5.66296048,6.243553756,465.6625927,1.105273079
MR753,P. blochii,21 April 2024,2,290,271,516.9883326,M,5,20.17726039,2,0.040613548,5.669880923,6.248020307,475.0479514,1.088286627
MR754,P. blochii,20 July 2024,3,229,206,275.5326633,M,5,12.11450213,1,0.045989624,5.433722004,5.618706182,240.4409076,1.145947526
MR755,P. blochii,27 September 2023,3,282,259,363.1187876,F,2,3.918070815,0,0.010907748,5.641907071,5.894730019,438.2352442,0.828593301
MR756,P. blochii,27 September 2023,3,291,263,397.4284867,F,3,8.335131351,1,0.021421932,5.673323267,5.98501501,479.7865971,0.828344287
MR757,P. blochii,20 July 2024,3,249,229,295.9479848,M,5,8.822687462,1,0.030727656,5.517452896,5.690183712,306.0976847,0.966841631
MR758,P. blochii,20 July 2024,3,256,230,319.3623202,M,4,26.12630968,1,0.089096525,5.545177444,5.766326258,331.5721171,0.963176044
MR759,P. blochii,07 July 2024,3,244,220,269.46934,M,5,13.25119349,1,0.051718404,5.497168225,5.596454618,288.7078841,0.933363288
MR760,P. blochii,01 April 2024,2,232,205,226.847878,M,4,13.01483661,1,0.060864479,5.446737372,5.424279652,249.6357631,0.908715463
MR761,P. blochii,01 April 2024,2,236,210,193.2910465,F,2,2.437316831,0,0.012770601,5.463831805,5.264197066,262.2486377,0.737052624
MR762,P. blochii,01 April 2024,2,255,231,299.0981225,F,5,23.74982801,0,0.086253768,5.541263545,5.700771689,327.8512449,0.912298267
MR763,P. blochii,21 April 2024,2,311,284,570.7027539,M,3,10.70552365,2,0.019117101,5.739792912,6.346868503,581.1449482,0.982031687
MR764,P. blochii,01 April 2024,2,188,170,112.2257878,F,5,3.892340293,1,0.035929257,5.236441963,4.720512804,136.1335572,0.824380043
MR765,P. blochii,01 April 2024,2,215,190,160.7919903,F,2,2.979897149,1,0.018882565,5.370638028,5.080111544,200.4526007,0.802144695
MR766,P. blochii,01 April 2024,2,209,195,185.7722951,M,3,4.581034839,1,0.025282869,5.342334252,5.224521704,184.7431742,1.005570549
MR767,P. blochii,21 April 2024,2,344,310,732.27431,F,4,34.91705477,1,0.050070541,5.840641657,6.596155184,777.27002,0.942110581
MR768,P. blochii,12 February 2024,1,349,325,920.1859094,M,2,6.274523307,1,0.006865571,5.855071922,6.824575725,810.2931361,1.13562101
MR769,P. blochii,01 April 2024,2,191,188,128.8246729,F,1,1.599980091,,0.012576019,5.252273428,4.858452355,142.4918693,0.904084377
MR770,P. blochii,21 April 2024,2,346,314,816.4861524,M,5,37.13810151,1,0.04765278,5.846438775,6.705009953,790.3716153,1.033040834
MR771,P. blochii,27 September 2023,3,354,318,674.3340948,M,7,2.647158534,0,0.00394106,5.869296913,6.513725678,844.2194424,0.798766364
MR772,P. blochii,12 February 2024,1,332,318,681.4887709,F,2,10.374259,0,0.015458255,5.805134969,6.524279774,701.6310563,0.971292198
