FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat,GSI,ln(TL),ln(Mass),Predicted mass,Le Cren
MR209,P. blochii,26-08-13,3,242,220,236,F,5,15.9,0,0.072239891,5.488937726,5.463831805,281.9369733,0.837066516
MR214,P. blochii,13-09-13,3,244,220,288.8,F,5,18.2,0,0.067257945,5.497168225,5.665734407,288.7078841,1.000319063
MR216,P. blochii,13-09-13,3,224,209,243.7,F,5,17.1,0,0.075463372,5.411646052,5.495937961,225.6128511,1.080168965
MR217,P. blochii,26-08-13,3,213,192,173,F,4,6.2,1,0.037170264,5.361292166,5.153291594,195.1229598,0.886620417
MR219,P. blochii,02-10-13,4,268,242,366.2,F,6,10.8,0,0.030388295,5.590986981,5.903179632,378.3927582,0.967777507
MR220,P. blochii,30-09-13,3,304,278,515.5,F,6,19.3,0,0.038895607,5.717027701,6.245137303,544.2229097,0.94722216
MR222,P. blochii,30-09-13,3,260,240,350.7,F,3,5.5,0,0.015932793,5.560681631,5.859931157,346.7313095,1.011446011
MR225,P. blochii,02-10-13,4,400,365,1234.5,F,5,54.3,1,0.046009151,5.991464547,7.118421309,1200.713229,1.028138918
MR226,P. blochii,30-09-13,3,239,219,268,F,3,3.1,0,0.011702529,5.476463552,5.590986981,271.9764476,0.985379442
MR227,P. blochii,30-09-13,3,242,219,279.9,F,4,7,1,0.025650421,5.488937726,5.634432397,281.9369733,0.992775075
MR230,P. blochii,02-10-13,4,248,227,292.1,F,6,10,0,0.035448423,5.513428746,5.677096209,302.5664836,0.965407657
MR233,P. blochii,24-07-13,3,273,250,430,F,5,28.2,2,0.070184171,5.609471795,6.063785209,399.1079269,1.077402805
MR234,P. blochii,24-07-13,3,240,215,259.8,F,5,13.8,1,0.056097561,5.480638923,5.559912104,275.2706381,0.943798444
MR237,P. blochii,02-10-13,4,240,211,287.6,F,4,18.2,1,0.067557535,5.480638923,5.661570626,275.2706381,1.044789964
MR243,P. blochii,22-07-13,3,196,175,120,F,2,2.3,0,0.019541206,5.278114659,4.787491743,153.5145929,0.781684644
MR244,P. blochii,02-10-13,4,241,217,292.3,F,4,15.4,,0.055615746,5.484796933,5.677780672,278.5907815,1.049209161
MR247,P. blochii,29-05-13,2,229,216,264.6,F,4,13.2,0,0.052505967,5.433722004,5.578219252,240.4409076,1.100478295
MR248,P. blochii,17-07-14,3,258,219,351,F,5,24,1,0.073394495,5.552959585,5.860786223,339.0963831,1.035103934
MR249,P. blochii,29-04-14,2,236,211,261.6,F,2,6.3,1,0.024676851,5.463831805,5.56681662,262.2486377,0.997526631
MR250,P. blochii,17-07-14,3,215,190,193.5,F,2,2.38,1,0.012452909,5.370638028,5.265277512,200.4526007,0.965315488
MR250,P. blochii,29-04-14,2,326,302,769.5,F,4,42,1,0.057731959,5.786897381,6.645740953,665.6881954,1.155946591
MR251,P. blochii,29-04-14,2,242,228,336,F,4,17,2,0.053291536,5.488937726,5.81711116,281.9369733,1.191755718
MR252,P. blochii,29-04-14,2,259,235,371,F,4,16.5,2,0.046544429,5.556828062,5.916202063,342.8999664,1.081948196
MR253,P. blochii,26-07-14,3,161,154,100.08,F,2,0.16,2,0.001601281,5.081404365,4.605969866,87.06026052,1.149548593
MR253,P. blochii,29-04-14,2,240,225,294.1,F,6,16.5,1,0.05943804,5.480638923,5.683919846,275.2706381,1.068403089
MR254,P. blochii,29-04-14,2,260,235,360.4,F,5,31,1,0.094110504,5.560681631,5.887214526,346.7313095,1.039421564
