FishID,Species,Date,Season,TL,FL,Mass,Sex,GS,GW,Fat
MR178,P. blochii,41413,2,216,195,190.9,M,5,13.8,0
MR179,P. blochii,41423,2,220,200,234,F,5,12.6,1
MR180,P. blochii,41423,2,231,215,248.9,M,5,23.4,1
MR181,P. blochii,41530,3,252,235,339,M,4,12.2,1
MR182,P. blochii,41530,3,225,215,239,F,4,18.2,1
MR183,P. blochii,41512,3,219,200,196,F,5,7.5,0
MR184,P. blochii,41512,3,282,258,394,F,6,18.4,1
MR185,P. blochii,41512,3,235,210,287,F,6,11.1,0
MR186,P. blochii,41512,3,245,223,270.9,F,5,17.5,0
MR187,P. blochii,41530,3,256,235,319,M,4,9.3,0
MR188,P. blochii,41530,3,251,232,312,F,4,12.1,0
MR189,P. blochii,41512,3,256,229,333.8,F,5,11.8,0
MR190,P. blochii,41512,3,271,246,410.4,M,4,16.3,0
MR191,P. blochii,41512,3,253,232,311,F,4,18.1,0
MR192,P. blochii,41512,3,265,240,367,F,3,5,0
MR193,P. blochii,41512,3,262,234,334,F,6,24.9,0
MR194,P. blochii,41512,3,251,225,284,M,3,14.6,0
MR195,P. blochii,41512,3,220,201,211,F,5,8.1,0
MR196,P. blochii,41512,3,290,266,489,M,4,31.9,2
MR197,P. blochii,41512,3,253,230,284.1,M,3,17.2,0
MR198,P. blochii,41512,3,239,214,246.7,F,3,9.3,0
MR199,P. blochii,41512,3,265,240,352,M,4,19.6,1
MR200,P. blochii,41512,3,250,228,313,F,3,8.9,1
MR201,P. blochii,41530,3,237,203,279.5,F,5,16,0
MR202,P. blochii,41530,3,272,229,393.4,F,5,25.4,0
MR203,P. blochii,42260,3,225,207,227.8,M,4,11.8,0
MR204,P. blochii,42260,3,269,245,360.9,M,3,3.3,1
MR205,P. blochii,41512,3,246,229,284.9,M,3,14.8,0
MR206,P. blochii,41512,3,275,243,415.8,F,6,23.1,1
MR207,P. blochii,41512,3,260,239,346.6,M,5,17.4,0
MR208,P. blochii,41512,3,275,252,407.2,M,3,30.1,0
MR209,P. blochii,41512,3,242,220,236,F,5,15.9,0
MR210,P. blochii,41530,3,254,234,301.1,M,2,2.6,0
MR212,P. blochii,41530,3,251,210,310.4,M,5,16.9,0
MR213,P. blochii,41530,3,288,262,444.5,M,5,29.7,0
MR214,P. blochii,41530,3,244,220,288.8,F,5,18.2,0
MR215,P. blochii,41530,3,223,221,239.9,M,4,8.1,0
MR216,P. blochii,41530,3,224,209,243.7,F,5,17.1,0
MR217,P. blochii,41512,3,213,192,173,F,4,6.2,1
MR219,P. blochii,41549,4,268,242,366.2,F,6,10.8,0
MR220,P. blochii,41547,3,304,278,515.5,F,6,19.3,0
MR222,P. blochii,41547,3,260,240,350.7,F,3,5.5,0
MR223,P. blochii,41479,3,251,230,304.2,M,4,9.6,0
MR224,P. blochii,41547,3,239,227,334.4,M,4,12.2,0
MR225,P. blochii,41549,4,400,365,1234.5,F,5,54.3,1
MR226,P. blochii,41547,3,239,219,268,F,3,3.1,0
MR227,P. blochii,41547,3,242,219,279.9,F,4,7,1
MR229,P. blochii,41547,3,248,230,314.7,M,4,15.1,0
MR230,P. blochii,41549,4,248,227,292.1,F,6,10,0
MR233,P. blochii,41479,3,273,250,430,F,5,28.2,2
MR234,P. blochii,41479,3,240,215,259.8,F,5,13.8,1
MR236,P. blochii,41477,3,217,194,194,M,1,0.1,0
MR237,P. blochii,41549,4,240,211,287.6,F,4,18.2,1
MR239,P. blochii,41479,3,229,204,238.6,M,4,5.5,2
MR239,P. blochii,41479,3,231,209,245,M,4,13,0
MR243,P. blochii,41477,3,196,175,120,F,2,2.3,0
MR244,P. blochii,41549,4,241,217,292.3,F,4,15.4,
MR247,P. blochii,41423,2,229,216,264.6,F,4,13.2,0
MR248,P. blochii,41837,3,258,219,351,F,5,24,1
MR248,P. blochii,41393,2,258,235,350.5,M,5,25,1
MR249,P. blochii,41758,2,236,211,261.6,F,2,6.3,1
MR249,P. blochii,42201,3,270,250,384.5,M,5,3.15,2
MR250,P. blochii,41837,3,215,190,193.5,F,2,2.38,1
MR250,P. blochii,41758,2,326,302,769.5,F,4,42,1
MR251,P. blochii,41758,2,242,228,336,F,4,17,2
MR252,P. blochii,42211,3,185,175,127,M,1,0.55,2
MR252,P. blochii,41758,2,259,235,371,F,4,16.5,2
MR253,P. blochii,41846,3,161,154,100.08,F,2,0.16,2
MR253,P. blochii,41758,2,240,225,294.1,F,6,16.5,1
MR254,P. blochii,42211,3,186,173,129.2,M,2,0.14,1
MR254,P. blochii,41758,2,260,235,360.4,F,5,31,1
MR255,P. blochii,42211,3,188,164,146,M,2,0.23,2
MR255,P. blochii,41782,2,260,245,317.5,M,5,25.9,2
MR256,P. blochii,41662,1,240,220,311,F,3,3.64,2
MR256,P. blochii,41782,2,295,268,530,M,5,49.5,0
MR257,P. blochii,41846,3,126,116,39.5,J,1,0,1
MR257,P. blochii,41782,2,238,222,310.5,M,4,23,1
MR258,P. blochii,41846,3,179,164,116,H,"M3, F2","0,29; 0,14",2
MR258,P. blochii,41782,2,245,221,300,F,5,15.5,2
MR259,P. blochii,41775,2,218,205,213.7,F,6,13.07,1
MR259,P. blochii,41782,2,246,238,333.5,M,4,27.5,2
MR260,P. blochii,41775,2,230,200,272.63,F,4,12.8,0
MR260,P. blochii,41782,2,251,232,329.5,M,4,28,1
MR261,P. blochii,41782,2,225,195,294.1,F,4,14.7,1
MR261,P. blochii,41775,2,250,205,304.43,M,5,17.87,1
MR262,P. blochii,41775,2,260,235,346.5,F,5,23.5,1
MR262,P. blochii,41758,2,277,252,477.5,F,4,4.5,2
MR263,P. blochii,41758,2,234,219,281,M,2,1.5,2
MR263,P. blochii,41662,1,260,245,398.86,F,4,4.9,2
MR264,P. blochii,41652,1,208,187,269,M,2,0.5,3
MR264,P. blochii,41662,1,240,210,324.3,F,3,3.2,2
MR265,P. blochii,41846,3,190,160,126.5,M,2,0.08,2
MR265,P. blochii,41652,1,225,210,261,M,2,0.4,1
MR266,P. blochii,41652,1,199,185,169.5,F,2,0.5,2
MR266,P. blochii,41662,1,320,285,646,M,4,1.32,2
MR267,P. blochii,41662,1,180,172,158,M,1,0.34,2
MR267,P. blochii,41647,1,248,230,310.8,F,2,3.3,1
MR268,P. blochii,41647,1,245,230,317.5,F,3,4.7,1
MR268,P. blochii,41662,1,257,235,354.5,F,2,2.5,2
MR269,P. blochii,42211,3,165,146,83,M,1,0.2,1
